Name;Web of Science Documents;Times Cited;Rank;% Docs Cited;Category Normalized Citation Impact;International Collaborations;All Open Access Documents;% First Author (2008-2022);% Global Baseline (Docs);% Documents in Top 1%;% International Collaborations;Gold Documents;% Last Author (2008-2022);% Global Baseline (Cites);Citation Impact;% Documents in Top 10%;% Industry Collaborations;Gold - Hybrid Documents;% Corresponding Author (2008-2022);% Baseline for All Items (Docs);Average Percentile;% Highly Cited Papers;Location Type;Free to Read Documents;First Author (2008-2022);Industry Collaborations;% Baseline for All Items (Cites);Highly Cited Papers;Impact Relative to World;Last Author (2008-2022);Domestic Collaborations;% Baseline for Pinned Items (Docs);Green Submitted Documents;% Hot Papers;Green Accepted Documents;Corresponding Author (2008-2022);% Domestic Collaborations;% Baseline for Pinned Items (Cites);Documents in JIF Journals;Green Published Documents;Documents in Q1 Journals;Green Only Documents;Citations From Patents;Documents in Q2 Journals;Non-Open Access Documents;Documents in Q3 Journals;% All Open Access Documents;Documents in Q4 Journals;% Gold Documents;% Documents in Q1 Journals;% Gold - Hybrid Documents;% Documents in Q2 Journals;% Free to Read Documents;% Documents in Q3 Journals;% Green Submitted Documents;% Documents in Q4 Journals;% Green Accepted Documents;% Green Published Documents;Documents in Top 1%;Documents in Top 10%;% Green Only Documents;Hot Papers;% Non-Open Access Documents
COSTA RICA;257;8750;80;85.99;0.98593035;153;46;0;0.019052688;1.17;59.53;3;0;0.024441305;34.04669261;12.45;1.17;6;0;0.021995722;47.63360195;0;Country/Region;21;0;3;0.024584334;0;1.282827074;0;3;n/a;12;0;3;0;1.17;n/a;226;15;77;16;34;78;211;26;17.9;45;1.17;34.07;2.33;34.51;8.17;11.5;4.67;19.91;1.17;5.84;3;32;6.23;0;82.1
TANZANIA;263;8692;81;90.87;0.981186692;175;50;0;0.019497498;1.52;66.54;2;0;0.024279294;33.04942966;9.89;1.52;1;0;0.022509241;52.24137947;0;Country/Region;38;0;4;0.024421375;0;1.245251738;0;4;n/a;7;0;3;0;1.52;n/a;244;14;99;9;27;53;213;48;19.01;44;0.76;40.57;0.38;21.72;14.45;19.67;2.66;18.03;1.14;5.32;4;26;3.42;0;80.99
LATVIA;509;8035;82;65.03;0.675899607;198;35;0;0.037734702;0.39;38.9;2;0;0.022444101;15.78585462;5.3;1.57;0;0;0.043563512;33.64592868;0;Country/Region;19;0;8;0.022575443;0;0.594786751;0;25;n/a;7;0;2;0;4.91;n/a;346;11;113;14;75;75;474;66;6.88;92;0.39;32.66;0;21.68;3.73;19.08;1.38;26.59;0.39;2.16;2;27;2.75;0;93.12
CYPRUS;257;7769;83;78.21;1.074399222;142;64;0;0.019052688;1.17;55.25;0;0;0.021701085;30.22957198;10.12;1.56;0;0;0.021995722;48.37019416;0;Country/Region;16;0;4;0.021828079;0;1.139003833;0;0;n/a;48;0;1;0;0;n/a;196;36;82;48;75;51;193;39;24.9;24;0;41.84;0;26.02;6.23;19.9;18.68;12.24;0.39;14.01;3;26;18.68;0;75.1
SRI LANKA;237;7758;84;78.48;1.02772616;112;27;0;0.017569989;2.53;47.26;4;0;0.021670359;32.73417722;10.97;0.84;1;0;0.020283993;44.76869156;0;Country/Region;17;0;2;0.021797173;0;1.23337351;0;22;n/a;3;0;3;0;9.28;n/a;196;5;86;5;49;46;210;43;11.39;21;1.69;43.88;0.42;23.47;7.17;21.94;1.27;10.71;1.27;2.11;6;26;2.11;0;88.61
UNITED ARAB EMIRATES;421;7169;85;76.72;0.567006413;192;32;0;0.031210824;0;45.61;1;0;0.02002511;17.02850356;6.65;0.48;0;0;0.036031903;38.36885724;0;Country/Region;26;0;2;0.020142296;0;0.641607855;0;13;n/a;2;0;0;0;3.09;n/a;350;7;90;5;45;102;389;92;7.6;66;0.24;25.71;0;29.14;6.18;26.29;0.48;18.86;0;1.66;0;28;1.19;0;92.4
REPUBLIC OF GEORGIA;347;6744;86;67.15;0.591663689;140;68;0;0.025724836;0.29;40.35;4;0;0.018837961;19.4351585;6.63;0.29;0;0;0.029698505;31.02196052;0;Country/Region;18;0;1;0.0189482;0;0.732286916;0;13;n/a;45;0;1;0;3.75;n/a;276;9;87;46;22;76;279;38;19.6;75;1.15;31.52;0;27.54;5.19;13.77;12.97;27.17;0.29;2.59;1;23;13.26;0;80.4
ZIMBABWE;277;6641;87;84.48;0.764719856;153;36;0;0.020535388;0;55.23;5;0;0.018550252;23.97472924;7.58;0;2;0;0.023707452;44.47279747;0;Country/Region;25;0;0;0.018658807;0;0.903330967;0;9;n/a;3;0;1;0;3.25;n/a;245;11;99;4;41;66;241;48;13;32;1.81;40.41;0.72;26.94;9.03;19.59;1.08;13.06;0.36;3.97;0;21;1.44;0;87
ETHIOPIA;246;6535;88;87.8;0.833145935;134;22;0;0.018237204;0.41;54.47;1;0;0.018254163;26.56504065;7.72;2.03;0;0;0.021054271;46.49086951;0;Country/Region;14;0;5;0.018360986;0;1.000929922;0;18;n/a;1;0;0;0;7.32;n/a;241;10;66;7;35;61;224;45;8.94;69;0.41;27.39;0;25.31;5.69;18.67;0.41;28.63;0;4.07;1;19;2.85;0;91.06
CAMEROON;223;6326;89;87.89;0.778967713;146;25;0;0.016532099;0.45;65.47;0;0;0.017670365;28.367713;9.42;5.38;0;0;0.019085782;48.29660314;0;Country/Region;16;0;12;0.017773771;0;1.068851847;0;10;n/a;4;0;0;0;4.48;n/a;194;7;81;9;24;41;198;46;11.21;26;0;41.75;0;21.13;7.17;23.71;1.79;13.4;0;3.14;1;21;4.04;0;88.79
